id,QuestionID,QuestionTxt,RespTxt,RespPct,SurveyOrg,SurveySponsor,BegDate,EndDate,SampleSize,IntMethod,SubPopulation
1,USSELZER.092616.R12,Do you think President Barack Obama was or was not born in the United States?,Was born in US,75.0,Selzer & Co.,Bloomberg,09/21/2016,09/24/2016,1002.0,telephone,
1,USSELZER.092616.R12,Do you think President Barack Obama was or was not born in the United States?,Was not born in US,11.0,Selzer & Co.,Bloomberg,09/21/2016,09/24/2016,1002.0,telephone,
1,USSELZER.092616.R12,Do you think President Barack Obama was or was not born in the United States?,Not sure,14.0,Selzer & Co.,Bloomberg,09/21/2016,09/24/2016,1002.0,telephone,
10,USORC.080410.R41,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",Definitely born in the US,42.0,Opinion Research Corporation,Cable News Network,07/16/2010,07/21/2010,1018.0,telephone,
10,USORC.080410.R41,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",Probably born in the US,29.0,Opinion Research Corporation,Cable News Network,07/16/2010,07/21/2010,1018.0,telephone,
10,USORC.080410.R41,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",Probably born in another country,16.0,Opinion Research Corporation,Cable News Network,07/16/2010,07/21/2010,1018.0,telephone,
10,USORC.080410.R41,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",Definitely born in another country,11.0,Opinion Research Corporation,Cable News Network,07/16/2010,07/21/2010,1018.0,telephone,
10,USORC.080410.R41,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",No opinion,2.0,Opinion Research Corporation,Cable News Network,07/16/2010,07/21/2010,1018.0,telephone,
105,USABCWP.121809.R32,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",Most agree,36.0,ABC News/Washington Post,,12/10/2009,12/13/2009,1003.0,telephone,
105,USABCWP.121809.R32,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",A lot of disagreement,62.0,ABC News/Washington Post,,12/10/2009,12/13/2009,1003.0,telephone,
105,USABCWP.121809.R32,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",No opinion,2.0,ABC News/Washington Post,,12/10/2009,12/13/2009,1003.0,telephone,
108,USABC.080908.R16,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",Most agree,39.0,ABC News,"Planet Green, The Woods Institute for the Environment at Stanford University",07/23/2008,07/28/2008,1000.0,telephone,
108,USABC.080908.R16,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",A lot of disagreement,57.0,ABC News,"Planet Green, The Woods Institute for the Environment at Stanford University",07/23/2008,07/28/2008,1000.0,telephone,
108,USABC.080908.R16,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",No opinion,4.0,ABC News,"Planet Green, The Woods Institute for the Environment at Stanford University",07/23/2008,07/28/2008,1000.0,telephone,
