100031952       1310612322921 3121111 2122 51322293 421233911121119 232111111  220003115131  1221221311911912122992  111111        40303          3 31  2 2141  300031002522213923 0004749       03132 000729   000662222433522 1  05 25431222 2
100032972       1321627102211 32112211 211 98211112 311123222111219 111112131  220003211111  3213211211222111111191  121111        20203          1 32  1 6132  300032002594214542 0008619       03132 001325   001203334433532 2  05 32611252 1
100033985       1121720181122           11    11112                         1  120003311212  31       2               23111        40000          3 31  1 3226  300033002642101221 0000009       03112 000000   002060331953552 2  00 22911232 2
100034207       1221118751113 12112213 211 03411112 411113122212222 311122231  120003431513  2993121222222111111221  111115        11203          3 31  1 3132  300034002713185632 0009009       02232 001801   001635112053651 1  14 24631232 2
100035208       1521623112121           22    21223                         2  220003511133  12       1               21225        20000          3 15  2 4216  300035002724221342 0000009       01131 000000   000899441323613 2  00 32111242 2
100036219       1331620212111 12112211 299 99 11112 441139922992199 391112139  220003611113  3913122223222111111199  121111        41203          1 31  1 9132  300036002794214843 0016029       01232 001821   001653221533632 2  01 23221292 3
100037262       1321122422213 12112211 211 25311112 211121222111119 311112231  120003791412  3113222222292111111121  121114        21212          1 22  2 3126  300037002911185612 0005879       05232 001174   001066225033632 1  14 23021232 2
100038270       3121128911313           22    22293                         9  220003812331  11       9               21223        40000          2 31  1 12161 300038002931170913 0000009       02132 000000   001456331823612 20000 13921212 3
100039303       1510718842122 12112212 211 21311112 311233122229222 211112241  220003925291  3291222221111111111121  121115        20505          1 25  2 51222 300039002963143531 0002369       07232 000473   000429440633633 10014 43721252 1
100040304       1521623171111 32122211 211 50412112 241193222912219 391229231  220004011113  3193999999292111112929  921294        40599          2 21  2 1126  300040002971191013 0003419       03222 001135   001030314953651 1  10 15631212 2
100041319       1221619412111 12112211 211 34311111 411193222112999 321112441  220004111112  2112222223222111112922  211114        10103          1 21  2 6132  300041003112214221 0005259       02132 000597   000542221653652 1  01 55631252 1
100042330       1511622032921           22    22223                         2  220004213111  11       1               21191        40404          2 22  2 2224  300042003124185342 0000009       17232 000000   000811223623611 1  00 26941222 3
100043352       1221613081111 12112212 211 26311112 211123211111211 331112221  220004311112  3113212222212111111321  123113        31201          1 31  2 6132  300043003173190531 0007539       08131 001506   001367331033631 1  14 25831252 1
100044361       1121620411221 12112211 211 24311111 211123222122212 221112321  220004411112  1111112229222111111121  123112        40100          1 31  2 9116  300044003221214112 0010409       15222 001425   001294334433632 2  06 25531292 2
100045407       1121620181111 13112222 211 17111212 121213211212112 331112121  220004511111  3223222221112111111122  121114        30403          1 31  2 4112  300045003293190833 0006899       08131 000783   000711331033621 1  01 34731242 2
100046415       1221618422121 2121111 3199 51422223 122231211221921 232241112  220004611131  1221231311911229121112  123124        41201          2 13  1 5141  300046003361222312 0009379       08232 001186   001077440513614 2  02 44631252 2
100047419       1311622502111           11    22912                         1  220004794233  39       3               11195        41299          3 29  2 2226  300047003371210513 0000009       04132 000000   000528223653651 1  00 27841222 3
100048432       1611728842112 12112219 211 25219112 441191229121299 121292422  120004812222  2121292121292211221291  121414        20105          3 31  2 11221 300048003411141311 0001561       23132 000177   000161334453652 20001 56331212 1
100049606       1131114561223           22    22224                         2  120004921631  12       1               23222        40303          3 31  1 1241  300049003841191413 0000009       05132 000000   001793331853651 2  00 24531212 1
100050610       1321122562223           19    91113                         1  220005021513  91       1               21492        30000          9 31  1 4226  300050003883190032 0000009       06232 000000   002710113933631 1  00 33224142 2
100051610       1221615101121 1121111 1122 17122224 122211211121121 232441112  220005111131  1221231311111222221112  121224        40601          2 13  1 41411 300051003902190721 0004839       06232 000549   000498113933631 10001 54731242 1
100052703       1410711212122 12112211 212 94311112 211121122122219 311112331  120005214212  2221222222222111111121  121114        39903          3 31  1 4132  300052004144130841 0004419       10112 000501   000455334733631 2  01 34831242 2
100053724       1211623661111 1322112 3192 25422993 329231911292299 212122122  220005311133  3221222221212121121392  121123        40703          3 93  1 31391 300053004373191133 0001189       04231 000252   000229113933621 10008 3422123113
100054727       1110610181111 12112211 211 82211112 211193222112219 321112441  220005492213  3113111222222111111121  121112        20201          1 31  2 4132  300054004394220041 0005219       09112 000592   000537331033631 1  01 37241242 1
100055731       1311627081121 12112211 211 51311112 411199922112212 311112349  220005512113  2113122999222111111391  121111        41201          1 31  2 4132  300055004424214941 0004949       07132 000561   000509334353652 2  01 36541242 1
100056757       1121621212121 23122211 299 54411212 311133211122211 332111111  220005691232  1113121311112111112211  121121        40899          1 31  1 4116  300056004464215342 0004159       04222 001384   001256334733631 2  10 23821242 2
100057765       1521629412121 3431112 2199 99 92113 431213999929299 232299191  220005711111  1919929991992219111992  121114        20101          2 21  2 2126  300057004502191223 0007559       02131 001162   001055221523611 2  05 22411222 1
100058770       1621112162913 12112212 219 23211112 211133122112212 311112341  120005891412  3113122229222111112321  221111        40801          3 31  2 3132  300058004554190242 0004039       13232 000458   000416331133631 2  01 56641232 1
100059772       1111629512111 13112229 291 26411112 141193922192299 991112231  220005913193  3113912922222111112919  121213        40401          9 92  2 3126  300059004573191233 0004819       16132 000547   000497331023611 1  01 25331232 3
100060812       3621119461113 232191   922 51122213 223213111222121 332332122  220006011231  1221222221111222122112  121224        30401          3 21  2 4132  300060004691133711 0011939       08132 001510   001371221523612 2  02 26331242 2
100061817       1122722021922 2131112 3122 14422122 442211911222129 232221211  220006193231  3121231311111212122192  121223        10202          1 21  1 4132  300061004741151512 0007239       24232 001446   001313334423612 2  14 32811242 1
100062818       1221717121112 2121111 9122 25322223 122291211222921 232231112  120006211231  1221232311111221221112  921122        30401          2 24  1 6141  300062004754141642 0004859       27132 000614   000557440533624 2  02 54531252 1
100063850       1421610232111 12112211 211 03311112 211233222112221 321112241  220006313113  3213112212222111111221  121111        40801          3 31  2 2132  300063004893214832 0012539       02232 001424   001293331053652 1  01 34731222 2
100064901       1211722322922 12112211 211 17311112 211133922112212 331112211  220006422212  3213122222222111111221  121111        41201          1 31  2 4132  300064004982152022 0007159       07132 000812   000737334333622 2  01 26541242 3
100065920       1621615071221 2132112 3112 24192222 321211911221229 232211212  220006511131  1221222313911121111192  921121        49905          2 22  2 2121  300065005102215823 0007109       08132 001510   001371225023612 1  08 16431222 3
100066937       1510112431923 3121111 3122 99 22223 441233211222912 232221211  220006695533  1291139913911222222111  121123        10100          9 21  2 1116  300066005143190933 0010839       03232 001484   001347223633621 1  07 21812212 2
100067972       1232622431911 12112211 211 23311112 211123222112222 321112221  220006713113  3113912229122111111221  121111        40100          3 31  2 41261 300067005233214232 0012601       04232 001726   001567334433632 20006 24731242 2
100068217       1311120821123 2121111 1122 24322223 432211111111191 231211111  220006893513  3121239321111212212919  211123        41201          2 21  1 3141  300068005464214441 0006419       17232 000811   000736221423712 2  02 33322232 3
100069231       1121623112121 2121111 2122 05122223 121291211211121 132131112  220006911131  1221221319111292211112  223125        30401          2 15  2 5141  300069005502191123 0005589       04132 000706   000641222353751 1  02 34931252 1
100070260       1410112562223 1121111 2122 17322223 122211221221121 232141112  220007095321  1221222311111222911111  121125        40803          3 21  2 41411 300070005543145531 0004139       03232 000469   000426221533731 20001 44421242 1
100071262       1221612401911 1121111 1122 05422222 122211111221121 332231212  220007111131  1221231311121222111111  111125        41203          2 15  1 6141  300071005553215533 0003429       05232 000389   000353225013712 1  01 55531252 1
100072302       1221615252111 1111112 2111 90311112 211123112112199 311111111  120007211223  3213121213112112111321  121114        41203          1 23  2 51322 300072005693200031 0006199       01132 000703   000638310823711 20001 57041252 2
100073317       1411722141912           92    92112                         2  220007324233  12       3               21114        20000          3 19  1 2226  300073005834103341 0000009       04132 000000   000509221533731 2  00 22411222 3
100074318       1610619071921 3321112 2992 98122913 322211111112129 231229122  220007412131  1221229391112212212111  911122        41202          2 32  1 4141  300074005841214812 0005779       04112 000888   001390331923712 2  05 36234142 2
100075402       1121722021912 1121111 1122 52422223 122211211221121 232121112  120007511231  1221231311912222211112  123124        40801          3 25  2 61311 300075005933161933 0003059       01132 000347   000315222823712 20001 55831252 1
100076410       1121627121111 32112213 291 11411992 219211222922212 311112221  220007611133  1299221923212211112121  221212        41203          1 22  2 61421 300076006034191142 0002259       01132 000346   000314312133721 20005 59931252 2
100077417       1621112431923 22112213 222 51412113 411211122212212 211222122  220007741333  1223222221111211122221  211195        30305          3 25  1 2122  300077006062172622 0012329       07132 001559   001415222633732 1  02 24021222 2
100078517       1221112152913 222192   222 52422293 123221211221199 232221112  220007891333  1221222321921291111312  211122        41201          1 31  2 3131  300078006272145722 0004379       07132 000553   000502222333721 1  02 3583123193
100079563       1511122431923 433299   599 99 99299 333239999292912 332222222  220007999533  9221299991299211992999  221119        39902          3 92  9 9195  300079006343214132 0002949       01132 000625   000567221623712 1  08 39911999 3
100080570       1221610051211           22    22113                         1  220008015123  31       3               21214        40000          3 35  2 4226  300080006351190312 0000009       10132 000000   001270113953751 1  00 33021242 2
100081573       1231122011913 22112211 211 51311119 211123122111212 321111231  220008121312  3213112922222111111221  121911        20105          3 31  2 3132  300081006394173741 0011809       08132 001494   001356222653752 1  02 25431232 2
100082580       1421119512123 12112211 211 23311112 411123122112212 311112131  220008291512  3113912222292111111121  121112        30103          1 31  1 21322 300082006403214532 0022429       03112 002548   002313333753752 20001 22811222 1
100083602       1320115071223 22112211 211 99 11122 331131122911212 311112211  220008395322  1223212123112111111191  221114        10803          1 31  2 9193  300083006461170013 0008199       04132 001637   001486440313713 1  14 32711292 3
100084617       1110713081112 2131112 2191 51429212 433221219122219 132211212  220008495233  1222922391112192121111  121195        40303          3 21  2 3141  300084006612111923 0002559       04232 000323   000293112233731 2  02 54323232 3
100085660       1410113171123 12112211 211 90311112 211123222222222 391112441  220008595333  3213112223222111112221  211115        41201          9 21  2 6132  300085006724145243 0005409       04232 000614   000557222653752 1  01 33921252 3
100086716       1521122422213 2121111 1122 24322223 122291211121191 232221112  120008611221  1221231311111219121112  121225        40899          2 25  1 3121  300086006891121913 0011739       26232 001485   001348113333721 2  02 33721232 2
100087734       1411622362121 12112221 211 26411111 341133922212212 321112441  220008713133  3113122223222111111211  129111        40102          3 31  1 4152  300087007022192022 0005619       11132 000638   000579222333721 1  01 33521242 2
100088801       1121621312911           11    11112                         1  220008815113  31       3               21111        40805          9 15  2 2226  300088007113222032 0000009       02131 000000   001051444523713 2  00 24421222 3
100089813       1121621261311 12112212 219 11412112 241121222111219 311112231  220008911113  3113222222122911111222  121112        20105          1 24  1 4112  300089007191191512 0008401       11222 000955   000867331023711 1  01 34021242 2
100090916       1121723652212 12112211 211 99 11112 211193122112299 321112341  220009091212  3113112222222111111221  121111        41203          1 32  2 3192  300090007472160623 0003709       05232 000420   000381440523714 2  01 58041232 1
