QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USAP.102712G.R27A","Protestant","28","Do you happen to know the religion of each of the following people?  If you don't know, you can mark that too....Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion...Barack Obama","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
"USAP.102712G.R27A","Catholic","5","Do you happen to know the religion of each of the following people?  If you don't know, you can mark that too....Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion...Barack Obama","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
"USAP.102712G.R27A","Muslim","18","Do you happen to know the religion of each of the following people?  If you don't know, you can mark that too....Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion...Barack Obama","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
"USAP.102712G.R27A","Some other religion","10","Do you happen to know the religion of each of the following people?  If you don't know, you can mark that too....Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion...Barack Obama","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
"USAP.102712G.R27A","No religion","2","Do you happen to know the religion of each of the following people?  If you don't know, you can mark that too....Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion...Barack Obama","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
"USAP.102712G.R27A","Don't know","35","Do you happen to know the religion of each of the following people?  If you don't know, you can mark that too....Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion...Barack Obama","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
"USAP.102712G.R27A","Refused/Not answered","2","Do you happen to know the religion of each of the following people?  If you don't know, you can mark that too....Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion...Barack Obama","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
Number of items downloaded: 1
