QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USPSRNEW.062008.R11A","Christian (Correct)","61","As far as you know, what is (2008) Democratic presidential (election) candidate Barack Obama's religion?  Is he a Christian, a Muslim, or something else?","","","06/20/2008","Princeton Survey Research Associates International","Newsweek","Princeton Survey Research Associates International/Newsweek Poll","06/18/2008","06/19/2008","Y","national adult","1010","telephone","" 
"USPSRNEW.062008.R11A","Muslim","13","As far as you know, what is (2008) Democratic presidential (election) candidate Barack Obama's religion?  Is he a Christian, a Muslim, or something else?","","","06/20/2008","Princeton Survey Research Associates International","Newsweek","Princeton Survey Research Associates International/Newsweek Poll","06/18/2008","06/19/2008","Y","national adult","1010","telephone","" 
"USPSRNEW.062008.R11A","Something else","7","As far as you know, what is (2008) Democratic presidential (election) candidate Barack Obama's religion?  Is he a Christian, a Muslim, or something else?","","","06/20/2008","Princeton Survey Research Associates International","Newsweek","Princeton Survey Research Associates International/Newsweek Poll","06/18/2008","06/19/2008","Y","national adult","1010","telephone","" 
"USPSRNEW.062008.R11A","Not sure/Refused","19","As far as you know, what is (2008) Democratic presidential (election) candidate Barack Obama's religion?  Is he a Christian, a Muslim, or something else?","","","06/20/2008","Princeton Survey Research Associates International","Newsweek","Princeton Survey Research Associates International/Newsweek Poll","06/18/2008","06/19/2008","Y","national adult","1010","telephone","" 
Number of items downloaded: 1
