QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USPSRA.121508.R08","2,000","18","(Now I would like to ask you about some things that have been in the news recently.  Not everyone will have heard of them.) Do you happen to know if the Dow Jones Industrial Average is currently closer to 2,000, 4,000, 8,000, or 13,000?","","","12/15/2008","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Survey","12/04/2008","12/07/2008","Y","national adult","1000","telephone","" 
"USPSRA.121508.R08","4,000","8","(Now I would like to ask you about some things that have been in the news recently.  Not everyone will have heard of them.) Do you happen to know if the Dow Jones Industrial Average is currently closer to 2,000, 4,000, 8,000, or 13,000?","","","12/15/2008","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Survey","12/04/2008","12/07/2008","Y","national adult","1000","telephone","" 
"USPSRA.121508.R08","8,000-correct","45","(Now I would like to ask you about some things that have been in the news recently.  Not everyone will have heard of them.) Do you happen to know if the Dow Jones Industrial Average is currently closer to 2,000, 4,000, 8,000, or 13,000?","","","12/15/2008","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Survey","12/04/2008","12/07/2008","Y","national adult","1000","telephone","" 
"USPSRA.121508.R08","13,000","5","(Now I would like to ask you about some things that have been in the news recently.  Not everyone will have heard of them.) Do you happen to know if the Dow Jones Industrial Average is currently closer to 2,000, 4,000, 8,000, or 13,000?","","","12/15/2008","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Survey","12/04/2008","12/07/2008","Y","national adult","1000","telephone","" 
"USPSRA.121508.R08","Don't know/Refused","24","(Now I would like to ask you about some things that have been in the news recently.  Not everyone will have heard of them.) Do you happen to know if the Dow Jones Industrial Average is currently closer to 2,000, 4,000, 8,000, or 13,000?","","","12/15/2008","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Survey","12/04/2008","12/07/2008","Y","national adult","1000","telephone","" 
Number of items downloaded: 1
