QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USMONM.091015.R06","More likely","17","Do you think illegal immigrants are more likely, less likely, or about as likely as other Americans to commit violent crimes like rape or murder?","","","09/10/2015","Monmouth University Polling Institute","","Monmouth University Poll","08/31/2015","09/02/2015","Y","national adult","1009","telephone","707 respondents were interviewed on landline telephones, and 302 on cell phones." 
"USMONM.091015.R06","Less likely","20","Do you think illegal immigrants are more likely, less likely, or about as likely as other Americans to commit violent crimes like rape or murder?","","","09/10/2015","Monmouth University Polling Institute","","Monmouth University Poll","08/31/2015","09/02/2015","Y","national adult","1009","telephone","707 respondents were interviewed on landline telephones, and 302 on cell phones." 
"USMONM.091015.R06","About as likely","59","Do you think illegal immigrants are more likely, less likely, or about as likely as other Americans to commit violent crimes like rape or murder?","","","09/10/2015","Monmouth University Polling Institute","","Monmouth University Poll","08/31/2015","09/02/2015","Y","national adult","1009","telephone","707 respondents were interviewed on landline telephones, and 302 on cell phones." 
"USMONM.091015.R06","Don't know","4","Do you think illegal immigrants are more likely, less likely, or about as likely as other Americans to commit violent crimes like rape or murder?","","","09/10/2015","Monmouth University Polling Institute","","Monmouth University Poll","08/31/2015","09/02/2015","Y","national adult","1009","telephone","707 respondents were interviewed on landline telephones, and 302 on cell phones." 
Number of items downloaded: 1
