QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USIPSOSR.101310R.R07B","Increased","70","As far as you know or recall, did the size of the yearly US (United States) budget deficit, otherwise known as government debt, increase, decrease or stay the same during George W. Bush's time as President?","","","10/13/2010","Ipsos-Public Affairs","Reuters","Ipsos-Public Affairs/Reuters Poll","10/07/2010","10/11/2010","Y","national adult","1038","telephone","" 
"USIPSOSR.101310R.R07B","Decreased","13","As far as you know or recall, did the size of the yearly US (United States) budget deficit, otherwise known as government debt, increase, decrease or stay the same during George W. Bush's time as President?","","","10/13/2010","Ipsos-Public Affairs","Reuters","Ipsos-Public Affairs/Reuters Poll","10/07/2010","10/11/2010","Y","national adult","1038","telephone","" 
"USIPSOSR.101310R.R07B","Stayed the same","11","As far as you know or recall, did the size of the yearly US (United States) budget deficit, otherwise known as government debt, increase, decrease or stay the same during George W. Bush's time as President?","","","10/13/2010","Ipsos-Public Affairs","Reuters","Ipsos-Public Affairs/Reuters Poll","10/07/2010","10/11/2010","Y","national adult","1038","telephone","" 
"USIPSOSR.101310R.R07B","Don't know/Refused/Not sure","5","As far as you know or recall, did the size of the yearly US (United States) budget deficit, otherwise known as government debt, increase, decrease or stay the same during George W. Bush's time as President?","","","10/13/2010","Ipsos-Public Affairs","Reuters","Ipsos-Public Affairs/Reuters Poll","10/07/2010","10/11/2010","Y","national adult","1038","telephone","" 
Number of items downloaded: 1
