QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USCBSNYT.052407A.R58","More likely","30","Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely or about as likely to commit crimes as American citizens?","","","05/24/2007","CBS News/New York Times","","CBS News/New York Times Poll","05/18/2007","05/23/2007","Y","national adult","1125","telephone","" 
"USCBSNYT.052407A.R58","Less likely","14","Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely or about as likely to commit crimes as American citizens?","","","05/24/2007","CBS News/New York Times","","CBS News/New York Times Poll","05/18/2007","05/23/2007","Y","national adult","1125","telephone","" 
"USCBSNYT.052407A.R58","About as likely","53","Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely or about as likely to commit crimes as American citizens?","","","05/24/2007","CBS News/New York Times","","CBS News/New York Times Poll","05/18/2007","05/23/2007","Y","national adult","1125","telephone","" 
"USCBSNYT.052407A.R58","Don't know/No answer","3","Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely or about as likely to commit crimes as American citizens?","","","05/24/2007","CBS News/New York Times","","CBS News/New York Times Poll","05/18/2007","05/23/2007","Y","national adult","1125","telephone","" 
Number of items downloaded: 1
