QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USORC.042810NII.R4","All of it","2","Based on what you've read or heard, how much of the money the federal government provided to troubled banks and financial institutions has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
"USORC.042810NII.R4","Most of it","17","Based on what you've read or heard, how much of the money the federal government provided to troubled banks and financial institutions has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
"USORC.042810NII.R4","Only some of it","57","Based on what you've read or heard, how much of the money the federal government provided to troubled banks and financial institutions has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
"USORC.042810NII.R4","None","13","Based on what you've read or heard, how much of the money the federal government provided to troubled banks and financial institutions has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
"USORC.042810NII.R4","Don't know/Refused","11","Based on what you've read or heard, how much of the money the federal government provided to troubled banks and financial institutions has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
Number of items downloaded: 1
