QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USCBSNYT.041410A.R050","Born in US","58","According to the Constitution, American Presidents must be 'natural born citizens.'  Some people say Barack Obama was not born in the United States, but was born in another country.  Do you think Barack Obama was born in the United States, or do you think he was born in another country?","","","04/14/2010","CBS News/New York Times","","CBS News/New York Times Poll","04/05/2010","04/12/2010","Y","national adult including an oversample of supporters of the tea party movement","1580","telephone","There was a total of 881 interviews with supporters of the Tea Party movement.   Results were weighted to be representative of a national adult population.  The interviews were conducted by land-line and cell phones." 
"USCBSNYT.041410A.R050","Another country","20","According to the Constitution, American Presidents must be 'natural born citizens.'  Some people say Barack Obama was not born in the United States, but was born in another country.  Do you think Barack Obama was born in the United States, or do you think he was born in another country?","","","04/14/2010","CBS News/New York Times","","CBS News/New York Times Poll","04/05/2010","04/12/2010","Y","national adult including an oversample of supporters of the tea party movement","1580","telephone","There was a total of 881 interviews with supporters of the Tea Party movement.   Results were weighted to be representative of a national adult population.  The interviews were conducted by land-line and cell phones." 
"USCBSNYT.041410A.R050","Don't know/No answer","22","According to the Constitution, American Presidents must be 'natural born citizens.'  Some people say Barack Obama was not born in the United States, but was born in another country.  Do you think Barack Obama was born in the United States, or do you think he was born in another country?","","","04/14/2010","CBS News/New York Times","","CBS News/New York Times Poll","04/05/2010","04/12/2010","Y","national adult including an oversample of supporters of the tea party movement","1580","telephone","There was a total of 881 interviews with supporters of the Tea Party movement.   Results were weighted to be representative of a national adult population.  The interviews were conducted by land-line and cell phones." 
Number of items downloaded: 1
