QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USASFOX.071917.R39","Yes","55","Do you think Russia interfered in the 2016 presidential election, or not?","","","07/19/2017","Anderson Robbins Research/Shaw & Co. Research","Fox News","Fox News Poll","07/16/2017","07/18/2017","Y","national registered voters","1020","telephone","432 respondents were interviewed on a landline telephone, and 588 were interviewed on a cell phone. Interviews were conducted by Braun Research." 
"USASFOX.071917.R39","No","34","Do you think Russia interfered in the 2016 presidential election, or not?","","","07/19/2017","Anderson Robbins Research/Shaw & Co. Research","Fox News","Fox News Poll","07/16/2017","07/18/2017","Y","national registered voters","1020","telephone","432 respondents were interviewed on a landline telephone, and 588 were interviewed on a cell phone. Interviews were conducted by Braun Research." 
"USASFOX.071917.R39","Don't know","11","Do you think Russia interfered in the 2016 presidential election, or not?","","","07/19/2017","Anderson Robbins Research/Shaw & Co. Research","Fox News","Fox News Poll","07/16/2017","07/18/2017","Y","national registered voters","1020","telephone","432 respondents were interviewed on a landline telephone, and 588 were interviewed on a cell phone. Interviews were conducted by Braun Research." 
Number of items downloaded: 1
