QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USPRRI.12RELNEWSMAY.R04A","Protestant","25","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Catholic","5","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Jewish","*","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Mormon","1","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Muslim","16","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Something else","*","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Not religious","3","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Christian (Vol.)","8","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Don't know what his religion is","41","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
"USPRRI.12RELNEWSMAY.R04A","Refused","*","Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","05/10/2012","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","05/02/2012","05/06/2012","Y","national adult","1006","telephone","Interviews were conducted by Social Science Research Solutions." 
Number of items downloaded: 1
