QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USPSRA.012810.R01","3,000","7","Next I'd like to ask about some things that have been in the news.  Please answer as best you can.  If you don't know the answer just tell me and we'll move to the next question....Do you happen to know if the Dow Jones Industrial Average is currently closer to...3,000, 5,000, 10,000 or 20,000?","","","01/28/2010","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Update Survey","01/14/2010","01/17/2010","Y","national adult","1003","telephone","672 respondents were interviewed on a landline telephone and 331 were interviewed on a cell phone, including 123 who had no landline telephone." 
"USPSRA.012810.R01","5,000","6","Next I'd like to ask about some things that have been in the news.  Please answer as best you can.  If you don't know the answer just tell me and we'll move to the next question....Do you happen to know if the Dow Jones Industrial Average is currently closer to...3,000, 5,000, 10,000 or 20,000?","","","01/28/2010","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Update Survey","01/14/2010","01/17/2010","Y","national adult","1003","telephone","672 respondents were interviewed on a landline telephone and 331 were interviewed on a cell phone, including 123 who had no landline telephone." 
"USPSRA.012810.R01","10,000 (correct)","36","Next I'd like to ask about some things that have been in the news.  Please answer as best you can.  If you don't know the answer just tell me and we'll move to the next question....Do you happen to know if the Dow Jones Industrial Average is currently closer to...3,000, 5,000, 10,000 or 20,000?","","","01/28/2010","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Update Survey","01/14/2010","01/17/2010","Y","national adult","1003","telephone","672 respondents were interviewed on a landline telephone and 331 were interviewed on a cell phone, including 123 who had no landline telephone." 
"USPSRA.012810.R01","20,000","3","Next I'd like to ask about some things that have been in the news.  Please answer as best you can.  If you don't know the answer just tell me and we'll move to the next question....Do you happen to know if the Dow Jones Industrial Average is currently closer to...3,000, 5,000, 10,000 or 20,000?","","","01/28/2010","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Update Survey","01/14/2010","01/17/2010","Y","national adult","1003","telephone","672 respondents were interviewed on a landline telephone and 331 were interviewed on a cell phone, including 123 who had no landline telephone." 
"USPSRA.012810.R01","Don't know/Refused","48","Next I'd like to ask about some things that have been in the news.  Please answer as best you can.  If you don't know the answer just tell me and we'll move to the next question....Do you happen to know if the Dow Jones Industrial Average is currently closer to...3,000, 5,000, 10,000 or 20,000?","","","01/28/2010","Princeton Survey Research Associates International","Pew Research Center for the People & the Press","Pew Research Center for the People & the Press Political Knowledge Update Survey","01/14/2010","01/17/2010","Y","national adult","1003","telephone","672 respondents were interviewed on a landline telephone and 331 were interviewed on a cell phone, including 123 who had no landline telephone." 
Number of items downloaded: 1
