QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USORC.042810NII.R5","All of it","7","Based on what you've read or heard, how much of the money the federal government provided to US (United States) automakers has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
"USORC.042810NII.R5","Most of it","18","Based on what you've read or heard, how much of the money the federal government provided to US (United States) automakers has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
"USORC.042810NII.R5","Only some of it","50","Based on what you've read or heard, how much of the money the federal government provided to US (United States) automakers has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
"USORC.042810NII.R5","None","15","Based on what you've read or heard, how much of the money the federal government provided to US (United States) automakers has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
"USORC.042810NII.R5","Don't know/Refused","11","Based on what you've read or heard, how much of the money the federal government provided to US (United States) automakers has been paid back...all of the money, most of it, only some of it, or none of it?","","","04/28/2010","Opinion Research Corporation","Pew Research Center for the People & the Press","Pew Weekly News Interest Index Poll","04/23/2010","04/26/2010","Y","national adult","1008","telephone","" 
Number of items downloaded: 1
