QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USSUFF.100115.R38","Yes","17","Do you think President (Barack) Obama is a Muslim?","","","10/01/2015","Suffolk University Political Research Center","USA Today","Suffolk University/USA Today Poll","09/24/2015","09/28/2015","Y","national likely voters","1000","telephone","Interviews were conducted by landline and cell phones." 
"USSUFF.100115.R38","No","67","Do you think President (Barack) Obama is a Muslim?","","","10/01/2015","Suffolk University Political Research Center","USA Today","Suffolk University/USA Today Poll","09/24/2015","09/28/2015","Y","national likely voters","1000","telephone","Interviews were conducted by landline and cell phones." 
"USSUFF.100115.R38","Undecided","15","Do you think President (Barack) Obama is a Muslim?","","","10/01/2015","Suffolk University Political Research Center","USA Today","Suffolk University/USA Today Poll","09/24/2015","09/28/2015","Y","national likely voters","1000","telephone","Interviews were conducted by landline and cell phones." 
"USSUFF.100115.R38","Refused","2","Do you think President (Barack) Obama is a Muslim?","","","10/01/2015","Suffolk University Political Research Center","USA Today","Suffolk University/USA Today Poll","09/24/2015","09/28/2015","Y","national likely voters","1000","telephone","Interviews were conducted by landline and cell phones." 
Number of items downloaded: 1
