QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USODFOX.072408A.R27","Muslim","10","Some people believe Barack Obama, despite his professed Christianity, is secretly a Muslim.  Others say that is just a rumor and Obama really is a Christian as he says, and point out he's attended a Christian church for years.  What do you believe--is Obama a Muslim or a Christian?","","","07/24/2008","Opinion Dynamics","Fox News","FOX News/Opinion Dynamics Poll","07/22/2008","07/23/2008","Y","national registered voters","900","telephone","" 
"USODFOX.072408A.R27","Christian","57","Some people believe Barack Obama, despite his professed Christianity, is secretly a Muslim.  Others say that is just a rumor and Obama really is a Christian as he says, and point out he's attended a Christian church for years.  What do you believe--is Obama a Muslim or a Christian?","","","07/24/2008","Opinion Dynamics","Fox News","FOX News/Opinion Dynamics Poll","07/22/2008","07/23/2008","Y","national registered voters","900","telephone","" 
"USODFOX.072408A.R27","Other (Vol.)","5","Some people believe Barack Obama, despite his professed Christianity, is secretly a Muslim.  Others say that is just a rumor and Obama really is a Christian as he says, and point out he's attended a Christian church for years.  What do you believe--is Obama a Muslim or a Christian?","","","07/24/2008","Opinion Dynamics","Fox News","FOX News/Opinion Dynamics Poll","07/22/2008","07/23/2008","Y","national registered voters","900","telephone","" 
"USODFOX.072408A.R27","Don't know","27","Some people believe Barack Obama, despite his professed Christianity, is secretly a Muslim.  Others say that is just a rumor and Obama really is a Christian as he says, and point out he's attended a Christian church for years.  What do you believe--is Obama a Muslim or a Christian?","","","07/24/2008","Opinion Dynamics","Fox News","FOX News/Opinion Dynamics Poll","07/22/2008","07/23/2008","Y","national registered voters","900","telephone","" 
Number of items downloaded: 1
