QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USAP.102712G.R47","In the United States","49","Where was Barack Obama born, as far as you know? (If No answer, ask:) Is it your best guess that Obama was born in the United States, or in another country?","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
"USAP.102712G.R47","In another country","39","Where was Barack Obama born, as far as you know? (If No answer, ask:) Is it your best guess that Obama was born in the United States, or in another country?","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
"USAP.102712G.R47","Refused/Not answered","12","Where was Barack Obama born, as far as you know? (If No answer, ask:) Is it your best guess that Obama was born in the United States, or in another country?","","","10/27/2012","Gfk Knowledge Networks","Associated Press","Associated Press/Gfk Knowledge Networks Poll","08/30/2012","09/11/2012","Y","national adult","1071","online","The poll was fielded by Gfk Knowledge Networks using its panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed." 
Number of items downloaded: 1
