QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USCBSNYT.091516A.R54","More likely","25","Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely, or about as likely to commit crimes as American citizens?","","Registered voters","09/16/2016","CBS News/New York Times","","CBS News/New York Times Poll","09/09/2016","09/13/2016","Y","national adult","1753","telephone","The interviews were conducted by land-line and cell phones. Interviews were conducted by SSRS--Social Science Research Solutions." 
"USCBSNYT.091516A.R54","Less likely","14","Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely, or about as likely to commit crimes as American citizens?","","Registered voters","09/16/2016","CBS News/New York Times","","CBS News/New York Times Poll","09/09/2016","09/13/2016","Y","national adult","1753","telephone","The interviews were conducted by land-line and cell phones. Interviews were conducted by SSRS--Social Science Research Solutions." 
"USCBSNYT.091516A.R54","About as likely","59","Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely, or about as likely to commit crimes as American citizens?","","Registered voters","09/16/2016","CBS News/New York Times","","CBS News/New York Times Poll","09/09/2016","09/13/2016","Y","national adult","1753","telephone","The interviews were conducted by land-line and cell phones. Interviews were conducted by SSRS--Social Science Research Solutions." 
"USCBSNYT.091516A.R54","Don't know/No answer","2","Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely, or about as likely to commit crimes as American citizens?","","Registered voters","09/16/2016","CBS News/New York Times","","CBS News/New York Times Poll","09/09/2016","09/13/2016","Y","national adult","1753","telephone","The interviews were conducted by land-line and cell phones. Interviews were conducted by SSRS--Social Science Research Solutions." 
Number of items downloaded: 1
