100035717       152112191111111111111112311344444     2344434     99  99  12 44220003511123213222111 1131112912311111 113922321121114294        44113141144132 4300035006871200112 00100099999   19131       133000955113935921       52711242 2
100036770       1611128422121111539119243111     3444111     33444  09  0433134220003613131111122111 11293433113119121 31111211211114194        4111113113414214300036007084201138 00100090904   09132       013000339331135931  00   35131222 1
100037812       142111202192111131111122131224242     2223431     08  06  12 24120003711211212111111 11112439132112111 39222212212224112        4231312113413211300037007302204529 00100090806   09232       043000891221535931  00   43921242 1
100038864       1321127002121122522222142221     1313112     23222  02  0621213220003811122122444222122221121222222122 31222921133129221        3122112213212112300038007483202134 00100090206   03132       077000419334135931  00   45631232 1
100039908       141112126131112253222214222314444     1144441     09  99  21214220003911122122333121 2231312139332121 211222321111121214        44222142144141 1300039007571200011 00100090999   10232       039000772113135931       33322232 2
100040912       131112216291111125111912131344444     2344444     99  99  12 44220004013113113111111 1211321913211212 123111222221114114        44113141144146 4300040007651201315 00100099999   01132       127000339331155951       34531132 1
100041919       142111366112112251222214222141133     9331431     02  02  21 4122000411112312243322212222112322221112 233222111133122321        3332113211413121300041007722200122 00100090202   04232       063000528333425911  00   44731252 2
100042978       1630113171111111941112233211     4424221     42412  08  0212 44220004215123212111111 1231113313311212 111221221121123422        42113241124111 2300042007934200539 00100090802   05222       017002202112235931       42211242 1
100043207       142111525212112230222212232224342     1123222     99  99  21324220004311123222244222122223123223229122 21222991133294123        42321121132121 2300043008041201719 00100099999   02232       009000589112056051       55731242 2
100044231       1521123112121122992222142223     4434211     33433  98  0421244220004411122129444222222122121121221212 11922329111111323        42222232134131 3300044008203201339 00100099804   02132       121000708222326011       44321232 2
100045330       154211355111112221222914212331442     1123112     98  08  2123122000451112312244322212222312122229912 222222111153123224        42222222131115 2300045008571200717 00100099808   16132       151001208223626011       45231252 1
100046330       1121121172921122512222143223     4444311     43222  04  042124422000461112212233322212229212113122199 911122221113122324        43222242132121 2300046008583201634 00100090404   17232       099001199223636021       24121232 2
100047419       141011708112119253112212133                                    220004715123213222191 1139312919139999 11122232111119232           3121 92  2 6  300047008802200529 0010009       04132       003001053223626011       22711222 2
100048607       131011330211112267222293322234142     1131412     98  06  29334220004815122122439222122299129391222222 33222921133121321        42322232114114 2300048009192201823 00100099806   22132       007000294113336021       56331232 1
100049704       1210110232121192992221132123     4441113     41414  06  082134422000491112312222929922222312919992191 911222922299191394        11222142114111 4300049009503202134 00100090608   12232       119000396333426011       47942212 3
100050740       112112875111119251912213212134132     1131412     02  02  2213422000501112212233312222222212313132222 923222211133111121        3222223221411132300050009712201828 00100090202   18132       141000379223656051  00   49931252 3
100051919       111011134231111106111123131142221     1242412     98  98  33142220005119122211111111 11193413132112121 13111212211393322        21312941124115 2300051011131203218 00100099898   04232       183000494333436121       59924299 3
100052614       111011951211111106111222111                                    220005213131112111111 11112223112112119 3112211221212312           1134 12  2 6  300052011232201722 0010009       15132       049000558223616111       24831232 1
100053239       113211264211111151111222191142442     2233432     98  05  12 42220005311191113222111 1112249919211212 133999112121223324        42112131134132 2300053011571202412 00100099805   14112       071000939331026111       44531252 1
100054229       133212359292112211122212222344444     1244443     98  98  21344220005415123223444212229322132123321212 11222321133124114        44222142144141 3300054012161203411 00100099898   01132       185001790331156151       32112232 3
100055937       1311127121111122522222142222     4331111     31423  06  9921243220005512122122444222222222123321322222 33222321193122123        11222239114121 3300055012213202632 00100090699   07132       023000700223626111       26641232 2
100056704       1210112562221122552221232121     3114111     13321  10  1021231220005615122122342222122212221331221111 11222322112114111        4122111223312121300056012404202935 00100091010   05112       097000630333456151  00   53822252 1
100057301       115211326192112251212223322221332     2242432     01  04  39 21220005711123112321122221223139132322121 33222111111194323        32112149124132 2300057014141203413 00100090104   08132       031001673312136231       45331252 1
100058304       122111217222112253222214222124221     1131122     01  04  21324220005811122122392229922221121123221222 91222221132121222        21222132111121 2300058014302204228 00100090104   01222       051001950314936231       27341222 1
100059703       132112365221111199111121311224223     3323432     04  04  12 24220005911111212222111 11323413113311111 31222211111114322        23112121134132 2300059014371203815 00100090404   11132       153000419334736231       54831252 3
100060678       1621113551111121512222231212     4231321     23412  08  0811 42220006011123112421121 2111313313211211 133222212213113323        13113321134112 2300060014573203439 00100010808   07132       117000493331136231  97   4372125121
100061606       151011242222111134111121191122242     2122422     99  10  12 22220006113111211111111 1111241311391212 939129319249114222        42113121124122 2300061014922203729 00100099910   05132       199000353331856251       37341222 1
100062732       132112384292112251222293322143442     2143432     08  01  92 4322000621113211333312222139212233311111 211129322141111224        42392942134135 2300062014941203813 00100090801   06232       023000757113156241       39991232 3
100063330       1411121162911122022222142222     3434332     44434  99  9821 34220006313122122444222122912121221221212 11922311132111293        43221142144131 4300063015093204034 00100099998   06232       029000443223636231       24631222 1
100064859       1621113661121111231122221212     4133221     23422  01  0112 41220006411123212122111 91123433133111121 13222111121114113        3211212113412202300064017064204239 00100090101   06132       067000836331826311  00   1432123112
100065518       111112232291119223992913323244444     2244443     99  99  92 44220006512193223332192222329421321399222 11222321149124324        44113249144145 3300065017151204812 00100099999   21232       093000865113326311       27541212 2
100066209       1321222362112111539119123232     4444221     44424  98  0112 44220006691221212222112219313131132312112 31222221113124424        42112541144122 4300066000174134432 00100099801   19132       099001787440535724       27141252 3
100067229       1221215212112121232292121243     4234212     23422  98  9822242120006711333122333222222322121333399222 11222321133123223        42313129234126 2300067000353200433 001000998981  02232       095000854331125711       36031292 2
100068251       1533125071221122541221933121     1443111     42412  99  0221314220006895223122421222222223129131221211 31222222111122224        31222142124111 2300068000403230432 00100099902   01132       097000719330125712  97   5422123132
100069402       1421111282921111541111221912     2322232     42422  10  0112 23220006911111413111111 1111349911211212 133111211911114322        22113141324122 2300069000744215031 00100091001   02132       055000891222825712       43421252 2
100070585       1310117081111111381112221213     2423224     31412  06  0112 24220007091233212211111 11113433132112221 33112212911124292        32113131114112 2300070001293210332 00100090601   29232       055000286113325711       45631242 1
100071651       1122127002111112021122121233     4443211     22434  99  9939944220007112133292233121 9239242119132122 211222321111214224        32223222124132 4300071001553215635 00100099999   04231       123001441222425712       27841222 3
100072715       1621111162911122052221123223     4344234     43434  99  9941 4322000721113312242212212222313333232222 233222321133224224        42921142134134 4300072001753215437 00100099999   08132       115001509225055752       23321232 1
100073864       152112326192112253222121322241443     2243441     98  98  22 41220007391233323223222221322431321322222 11222322233112214        43223142134144 1300073002302220123 00100019898   04112       083001087334125711       25432212 2
100074870       1311123661111122992222143222     4144411     41434  01  9921141220007414123122443222222323121221321291 11222921111112294        44221142314131 4300074002333220139 00100090199   04132       057000339330455752       35631232 2
100075928       1321129461121122512222143221     4434311     34444  98  992124422000751112212222212222222212112192122 231922321111112123        43222232144141 4300075002503235537 00100099899   01131       005000483440325713       46331232 3
100076319       152112842211112253222993222224311     3343332     04  04  21 24220007611122129332222122229121323929222 31222321133192323        11221142233131 2300076003191220213 00100090404   02132       113000886221625812       25931252 2
100077360       122121202191212253222124323                                    120007711222122442122222323121331321222 1122221113312132           2231 12  2 6  300077003292214424 0010009    2  08132       053001424444835824       15931242 1
100078603       143121510111211226112912123                                    12000781522221222212222232212113131111 23122232111212232           9115 11  2 6  300078003853192732 0010009       01132       015002269113035831       32011222 2
100079608       1121128751111111171111221112     4334234     43422  98  0412 43220007911113412111211 1131313223311212 111111122113124323        42112241134122 2300079003873215733 00100099804   02232       025000886225035822       24631252 3
100080715       142111359291112251222214322241241     1124224     01  01  21341220008011122122333222222322123333222229 11222221111121222        41392222142121 4300080004231220917 00100090101   07232       073000637225035822       36941222 2
100081205       132112106221111299112112223344444     9242444     98  98  12 44220008111133121111121 12111421131322111 11111311211111314        44222441124142 4300081005252220327 00100099898   07232       023001852330155952       22911232 2
100082281       152122256222219223222123393                                    220008291222122222921 2222232321331199 93112222112112122           1122 21  2 1  300082005524113739 0010009    2  22132       157000419334435932       44631232 1
100083309       1121229461112122232211123223     3124322     24432  01  0121 3112000831123312222222222232143331332211 211222221133123422        43112521144132 2300083005653141831 00100090101   17232       057000708221455952       53721252 1
100084503       132122022221211181111122131124222     2122212     08  02  12 24220008491213312111111 12113439113112121 31122212211222222        22112121122112 2300084006112134923 001000908021  01232       005000647443835934       37041252 3
100085541       1121221342312122512121133124     4444413     44444  99  9933344120008511621222222221 22393133133111229 31222212111113324        44321942144141 4300085006314224031 001000999992  02132       017000483443855954       45331222 1
100086586       1221215101112122242291133234     1324431     13414  98  9821 13220008621222123322221 21313121233321212 31222321211112312        44321212134111 4300086006434103635 001000998982  12232       099001115222335931       24731212 3
100087765       1121222562222112111111223213     4444122     44443  99  9912 44220008791213313122111 11333433133312191 39229912291313124        41312241144145 3300087007063103933 001000999992  05132       053000708221555951       43121242 3
100088775       112122708112211151111123321344443     1244443     98  04  22344220008893233312222121 12313431133321221 31222221111114224        43222442344141 3300088007141135019 001000998042  02132       007001577442955954       24421222 2
100089801       1221218842122122519222142221     4433311     41412  99  0122944120008911222122332222222321121323221222 11222129111194323        33322142114111 2300089007183142334 001000999012  02131       035000736444525913       47541242 3
