measure,question,dont_know,n
dk_offered,birth,0.07723577235772358,246
dk_offered,death,0.35772357723577236,246
dk_offered,deficit,0.24796747967479674,246
dk_offered,fraud,0.06910569105691057,246
dk_offered,illegal,0.3902439024390244,246
dk_offered,increase,0.044715447154471545,246
dk_offered,mmr,0.18292682926829268,246
dk_offered,religion,0.1951219512195122,246
dk_offered,science,0.06504065040650407,246
fewer_substantive,birth,0.09881422924901186,253
fewer_substantive,death,0.30039525691699603,253
fewer_substantive,deficit,0.3241106719367589,253
fewer_substantive,fraud,0.1857707509881423,253
fewer_substantive,illegal,0.383399209486166,253
fewer_substantive,increase,0.07114624505928854,253
fewer_substantive,mmr,0.17786561264822134,253
fewer_substantive,religion,0.24110671936758893,253
fewer_substantive,science,0.06719367588932806,253
media,birth,0,237
media,death,0,237
media,deficit,0,237
media,fraud,0,237
media,illegal,0,237
media,increase,0,237
media,mmr,0,237
media,religion,0,237
media,science,0,237
pyrite,birth,0,250
pyrite,death,0,250
pyrite,deficit,0,250
pyrite,fraud,0,250
pyrite,illegal,0,250
pyrite,increase,0,250
pyrite,mmr,0,250
pyrite,religion,0,250
pyrite,science,0,250
scale,birth,0.0898876404494382,267
scale,death,0.4307116104868914,267
scale,deficit,0.30711610486891383,267
scale,fraud,0.06741573033707865,267
scale,illegal,0.4232209737827715,267
scale,increase,0.06741573033707865,267
scale,mmr,0.11610486891385768,267
scale,religion,0.13108614232209737,267
scale,science,0.0449438202247191,267
