feature,n,successes,label,estimate,lower,upper
binary,121,51,Two substantive options,0.4214876033057851,0.3372499540821435,0.5105570150170472
claim_cue,121,6,Stem repeats the false claim,0.049586776859504134,0.022921674071323395,0.1039709381292975
dk_shown,121,16,Explicit don't-know option,0.1322314049586777,0.08305917829459444,0.20403662432793088
opinion_wording,121,98,Opinion-inviting wording,0.8099173553719008,0.7308962405459443,0.8698657235361973
