outcome,term,estimate,std_error,items,wordings,lower,upper
incorrect,dk_shownTRUE,-0.053838797150093355,0.05071453543881727,121,95,-0.1532374601028554,0.04555986580266869
incorrect,opinion_wordingTRUE,-0.015625273429730243,0.03902148079534599,121,95,-0.09210597041202974,0.060855423552569246
incorrect,claim_cueTRUE,-0.03162271023606635,0.028529792199505962,121,95,-0.08754007543350979,0.024294654961377088
incorrect,formatgraded,0.08255039249379725,0.057679219361466465,121,95,-0.030498800111062346,0.19559958509865685
incorrect,formatthree or more,0.025007853719934966,0.035656835832235376,121,95,-0.04487826031390363,0.09489396775377357
dk,dk_shownTRUE,0.08858313047628069,0.03013977657582443,121,95,0.029510253885580873,0.1476560070669805
dk,opinion_wordingTRUE,-0.08271396308493757,0.03364318817371826,121,95,-0.1486534002305292,-0.016774525939345933
dk,claim_cueTRUE,0.09329590084969101,0.031002240780864863,121,95,0.03253262547915698,0.15405917622022505
dk,formatgraded,-0.11266694899556755,0.021813117913545302,121,95,-0.1554198744966418,-0.06991402349449329
dk,formatthree or more,0.012751753143622426,0.021650856076983485,121,95,-0.029683145001725357,0.055186651288970205
