id,question,n_options,mode,row,topic,polling_firm,date,keep,drop_reason,dk_shown,claim_cue,drop_category,correct,dk,incorrect,basis,confident_correct,confident_incorrect,total,opinion_wording,graded,format
8,"Do you think Barack Obama was born in the United States, or do you think he was born in another country?...Hawaii, Kansas, someplace else in the US, not sure which state in the US, Kenya, Indonesia, someplace else outside the US, not sure which country",8,telephone,33,Obama Citizenship,CBS News,06/01-03/10,TRUE,,FALSE,FALSE,,0.63,0.13,0.24,Roper topline,,,100,TRUE,FALSE,three or more
194,"Which statement comes closest to your view about global warming? Global warming is caused mostly by human activity such as burning fossil fuels. Global warming is caused mostly by natural patterns in the earth's environment. OR, Global warming does not exist.",3,online,36,GW Happening Cause,CBS News/New York Times,09/10-14/14,TRUE,,FALSE,FALSE,,0.54,0.02,0.44,Corpus columns,,,100,TRUE,FALSE,three or more
5,"According to the Constitution, American presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?",2,telephone,41,Obama Citizenship,CBS News/New York Times,04/15-20/11,TRUE,,FALSE,TRUE,,0.57,0.18,0.25,Roper topline,,,100,TRUE,FALSE,binary
11,"According to the Constitution, American Presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?",2,telephone,42,Obama Citizenship,CBS News/New York Times,04/05-12/10,TRUE,,FALSE,TRUE,,0.58,0.22,0.2,Roper topline,,,100,TRUE,FALSE,binary
195,Which of the following statements comes closest to your view of global warming? Global warming is a proven fact and is mostly caused by emissions from cars and industrial facilities such as power plants and factories. Global warming is a proven fact and is mostly caused by natural changes that have nothing to do with emissions from cars and industrial facilities. Global warming is a theory that has not yet been proven.,3,online,43,GW Happening Cause,CNN/ORC,01/14-15/13,TRUE,,FALSE,FALSE,,0.49,0.04,0.47,Corpus columns,,,100,TRUE,FALSE,three or more
254,"On the subject of climate change do you think: (A) The world¡¯s climate is changing as a result of human activity; (B) The world¡¯s climate is changing but NOT
because of human activity; (C) The world¡¯s climate is NOT changing",3,online,44,GW Happening Cause,Economist/YouGov,06/04-06/17,TRUE,,FALSE,FALSE,,0.63,0,0.37,Corpus columns,,,100,TRUE,FALSE,three or more
255,"To the best of your knowledge, do you think there is a consensus in the scientific community that climate change is occurring and is mainly caused by human activity?",0,online,45,GW Scientist Agreement,Economist/YouGov,06/04-06/17,TRUE,,TRUE,FALSE,,0.58,0.2,0.22,Corpus columns,,,100,TRUE,FALSE,three or more
244,Do you think it is true or false that former President Obama ordered wire taps on Donald Trump's phones?,2,online,46,Obama Illegal Wiretapping,Economist/YouGov,03/06-07/17,TRUE,,TRUE,FALSE,,0.5,0.2,0.3,"Corpus columns; graded item, checked against footnote",29,9,100,TRUE,TRUE,graded
249,Political Accusations - Russia hacked the email of Democrats in order to increase the chance that Donald Trump would win the Presidential election. Do you think the following statements are true or not true?,2,online,49,Russia Meddling,Economist/YouGov,06/04-06/17,TRUE,,FALSE,FALSE,,0.55,0,0.45,"Corpus columns; graded item, checked against footnote",26,17,100,TRUE,TRUE,graded
251,Political Accusations - Russia tampered with vote tallies in order to get Donald Trump elected President. Do you think the following statements are true or not true?,2,online,50,Russia Meddling,Economist/YouGov,06/04-06/17,TRUE,,FALSE,FALSE,,0.62,0,0.38,Reversed: the corpus counted 'true' as correct; no evidence supports vote-tally tampering,27,13,100,TRUE,TRUE,graded
256,Conspiracy Theories - Russia hacked the email of Democrats in order to increase the chance that Donald Trump would win the Presidential election. Do you think the following statements are true or not true?,2,online,53,Russia Meddling,Economist/YouGov,05/13-16/17,TRUE,,FALSE,FALSE,,0.54,0,0.46,"Corpus columns; graded item, checked against footnote",20,16,100,TRUE,TRUE,graded
258,Conspiracy Theories - Russia tampered with vote tallies in order to get Donald Trump elected President. Do you think the following statements are true or not true?,2,online,54,Russia Meddling,Economist/YouGov,05/13-16/17,TRUE,,FALSE,FALSE,,0.65,0,0.35,Reversed: the corpus counted 'true' as correct; no evidence supports vote-tally tampering,27,11,100,TRUE,TRUE,graded
261,Conspiracy Theories - Russia hacked the email of Democrats in order to increase the chance that Donald Trump would win the Presidential election. Do you think the following statements are true or not true?,2,online,57,Russia Meddling,Economist/YouGov,07/09-11/17,TRUE,,FALSE,FALSE,,0.57,0,0.43,"Corpus columns; graded item, checked against footnote",28,17,100,TRUE,TRUE,graded
